INSEE_COM,Nom_de_la_commune,POSTAL_COM,LibellÈ_d_acheminement,Territoire
94073,THIAIS,94320,THIAIS,T12
94074,VALENTON,94460,VALENTON,T12
94075,VILLECRESNES,94440,VILLECRESNES,T11
94076,VILLEJUIF,94800,VILLEJUIF,T12
94077,VILLENEUVE LE ROI,94290,VILLENEUVE LE ROI,T12
94078,VILLENEUVE ST GEORGES,94190,VILLENEUVE ST GEORGES,T12
94079,VILLIERS SUR MARNE,94350,VILLIERS SUR MARNE,T10
94080,VINCENNES,94300,VINCENNES,T10
94081,VITRY SUR SEINE,94400,VITRY SUR SEINE,T12
95018,ARGENTEUIL,95100,ARGENTEUIL,T12
